Region,Ankuenfte,Ankuenfte_Change,Uebernachtungen,Uebernachtungen_Change,Aufenthaltslaenge_mean,Sequence
MV_Deutschland,268745,17.2,1342774,15.9,5.0,200907
MV_Ausland,18768,9.2,62864,12.7,3.3,200907
NI,230639,16.3,986941,13.6,4.3,200907
NI_Deutschland,184546,19.1,864737,15.2,4.7,200907
NI_Ausland,46093,6.2,122204,3.9,2.7,200907
NW,93587,4.8,266933,-7.5,2.9,200907
NW_Deutschland,74121,6.3,204956,-6.7,2.8,200907
NW_Ausland,19466,-0.6,61977,-10.0,3.2,200907
RP,113657,-0.4,419514,-3.6,3.7,200907
RP_Deutschland,59997,-0.3,203277,-2.3,3.4,200907
RP_Ausland,53660,-0.5,216237,-4.8,4.0,200907
SL,9574,18.2,28053,4.4,2.9,200907
SL_Deutschland,8418,35.9,25445,14.6,3.0,200907
SL_Ausland,1156,-39.2,2608,-44.1,2.3,200907
SN,39836,-4.7,127040,-1.6,3.2,200907
SN_Deutschland,32502,-2.8,105539,1.9,3.2,200907
SN_Ausland,7334,-12.2,21501,-16.0,2.9,200907
ST,30691,15.0,79835,22.3,2.6,200907
ST_Deutschland,24965,20.3,68527,26.9,2.7,200907
ST_Ausland,5726,-3.6,11308,0.0,2.0,200907
SH,227888,15.0,1077923,10.2,4.7,200907
SH_Deutschland,204599,17.4,1022737,10.9,5.0,200907
SH_Ausland,23289,-2.3,55186,-1.4,2.4,200907
TH,35759,7.6,113658,14.1,3.2,200907
TH_Deutschland,31293,9.3,102503,16.8,3.3,200907
TH_Ausland,4466,-3.1,11155,-6.2,2.5,200907
BRD,1824117,12.5,6853152,10.8,3.8,200908
BRD_Deutschland,1475247,11.8,5806888,9.7,3.9,200908
BRD_Ausland,348870,15.5,1046264,17.1,3.0,200908
BW,242895,17.1,936305,17.3,3.9,200908
BW_Deutschland,165015,18.4,694655,17.1,4.2,200908
BW_Ausland,77880,14.4,241650,17.7,3.1,200908
BY,360002,21.0,1337770,20.5,3.7,200908
BY_Deutschland,267342,24.6,1118488,22.4,4.2,200908
BY_Ausland,92660,11.6,219282,11.7,2.4,200908
BE,13209,57.4,42284,78.5,3.2,200908
BE_Deutschland,6157,48.6,21033,95.3,3.4,200908
BE_Ausland,7052,66.1,21251,64.5,3.0,200908
BR,77127,7.7,246258,2.7,3.2,200908
BR_Deutschland,70281,6.5,226562,0.7,3.2,200908
BR_Ausland,6846,21.8,19696,33.5,2.9,200908
HB,3504,-999.0,-999,-999.0,-999.0,200908
HB_Deutschland,-999,-999.0,5216,-999.0,-999.0,200908
HB_Ausland,-999,-999.0,-999,-999.0,-999.0,200908
HH,10159,-999.0,-999,-999.0,-999.0,200908
HH_Deutschland,-999,-999.0,14476,-999.0,-999.0,200908
HH_Ausland,-999,-999.0,-999,-999.0,-999.0,200908
HE,81427,23.1,255427,34.0,3.1,200908
HE_Deutschland,66773,28.1,215727,42.4,3.2,200908
HE_Ausland,14654,4.5,39700,1.3,2.7,200908
MV,274491,8.3,1199456,-0.6,4.4,200908
MV_Deutschland,259662,7.0,1149022,-1.8,4.4,200908
MV_Ausland,14829,37.6,50434,37.8,3.4,200908
NI,182466,12.7,745232,4.5,4.1,200908
NI_Deutschland,151847,10.1,658374,2.4,4.3,200908
NI_Ausland,30619,27.7,86858,24.5,2.8,200908
NW,99921,28.0,264826,27.4,2.7,200908
NW_Deutschland,80338,27.6,203015,27.9,2.5,200908
NW_Ausland,19583,29.5,61811,25.6,3.2,200908
RP,120401,15.5,436221,19.8,3.6,200908
RP_Deutschland,66911,18.3,207326,24.5,3.1,200908
RP_Ausland,53490,12.2,228895,15.8,4.3,200908
SL,12559,122.6,35151,133.7,2.8,200908
SL_Deutschland,11115,181.9,32048,187.6,2.9,200908
SL_Ausland,1444,-15.0,3103,-20.4,2.1,200908
SN,40539,4.3,116696,-4.7,2.9,200908
SN_Deutschland,34524,3.2,98909,-7.6,2.9,200908
SN_Ausland,6015,11.2,17787,15.5,3.0,200908
ST,25699,3.7,58609,-3.5,2.3,200908
ST_Deutschland,22145,6.7,51351,-2.9,2.3,200908
ST_Ausland,3554,-11.7,7258,-7.6,2.0,200908
SH,192289,18.5,865595,13.1,4.5,200908
SH_Deutschland,178937,19.4,832311,13.2,4.7,200908
SH_Ausland,13352,8.2,33284,11.7,2.5,200908
TH,87429,-33.2,288878,-16.8,3.3,200908
TH_Deutschland,83416,-34.3,278375,-17.2,3.3,200908
TH_Ausland,4013,1.5,10503,-6.5,2.6,200908
BRD,624866,16.4,2170883,15.4,3.5,200909
BRD_Deutschland,502702,17.1,1824878,15.2,3.6,200909
BRD_Ausland,122164,14.0,346005,16.4,2.8,200909
BW,88679,25.2,330648,24.1,3.7,200909
BW_Deutschland,66615,30.2,269926,26.1,4.1,200909
BW_Ausland,22064,12.1,60722,15.9,2.8,200909
BY,125240,13.7,458441,7.4,3.7,200909
BY_Deutschland,93186,12.4,389495,7.8,4.2,200909
BY_Ausland,32054,17.5,68946,5.0,2.2,200909
BE,2879,13.9,9388,-3.7,3.3,200909
BE_Deutschland,1636,19.2,5386,0.5,3.3,200909
BE_Ausland,1243,7.6,4002,-8.9,3.2,200909
BR,19661,17.5,60086,20.3,3.1,200909
BR_Deutschland,17869,18.7,55188,23.0,3.1,200909
BR_Ausland,1792,7.5,4898,-3.5,2.7,200909
HB,3504,-999.0,6449,-999.0,1.8,200909
HB_Deutschland,3255,-999.0,5971,-999.0,1.8,200909
HB_Ausland,249,111.0,478,106.9,1.9,200909
HH,3975,17.0,6236,5.8,1.6,200909
HH_Deutschland,3528,-999.0,5481,6.5,1.6,200909
HH_Ausland,447,-999.0,755,0.9,1.7,200909
HE,31129,20.2,88190,25.8,2.8,200909
HE_Deutschland,25979,21.5,74570,26.7,2.9,200909
HE_Ausland,5150,14.2,13620,21.1,2.6,200909
MV,67862,16.6,304659,22.6,4.5,200909
MV_Deutschland,63130,15.2,289083,21.6,4.6,200909
MV_Ausland,4732,39.0,15576,44.9,3.3,200909
NI,67908,3.6,257190,9.4,3.8,200909
NI_Deutschland,58430,8.3,230471,8.2,3.9,200909
NI_Ausland,9478,-18.5,26719,21.6,2.8,200909
NW,40316,19.5,93015,7.8,2.3,200909
NW_Deutschland,32900,19.4,71726,4.9,2.2,200909
NW_Ausland,7416,20.0,21289,19.1,2.9,200909
RP,73186,21.4,247389,20.6,3.4,200909
RP_Deutschland,44198,21.0,138990,19.2,3.1,200909
RP_Ausland,28988,22.1,108399,22.5,3.7,200909
SL,2163,13.6,5158,19.6,2.4,200909
SL_Deutschland,1767,25.7,4262,32.7,2.4,200909
SL_Ausland,396,-20.5,896,-18.6,2.3,200909
SN,13741,8.5,41606,14.5,3.0,200909
SN_Deutschland,11964,5.2,36141,12.4,3.0,200909
SN_Ausland,1777,38.0,5465,31.1,3.1,200909
ST,11259,34.1,26648,28.1,2.4,200909
ST_Deutschland,10065,33.3,23868,26.5,2.4,200909
ST_Ausland,1194,41.5,2780,43.2,2.3,200909
SH,65321,13.9,214719,11.7,3.3,200909
SH_Deutschland,61452,14.5,206545,12.0,3.4,200909
SH_Ausland,3869,4.4,8174,4.4,2.1,200909
TH,8043,20.8,21061,10.0,2.6,200909
TH_Deutschland,6728,19.5,17775,12.2,2.6,200909
TH_Ausland,1315,27.7,3286,-0.6,2.5,200909
BRD,318291,5.2,1171053,4.2,3.7,200910
BRD_Deutschland,273867,5.2,1043539,4.2,3.8,200910
BRD_Ausland,44424,5.8,127514,4.6,2.9,200910
BW,43526,6.9,164995,6.7,3.8,200910
BW_Deutschland,33703,6.8,137852,4.7,4.1,200910
BW_Ausland,9823,7.2,27143,18.0,2.8,200910
BY,55987,-0.6,221738,-2.9,4.0,200910
BY_Deutschland,46219,-1.8,196165,-3.7,4.2,200910
BY_Ausland,9768,5.5,25573,3.3,2.6,200910
BE,1304,-7.5,5420,-6.2,4.2,200910
BE_Deutschland,877,-11.8,3698,-13.7,4.2,200910
BE_Ausland,427,2.9,1722,15.3,4.0,200910
BR,7593,1.0,26994,14.9,3.6,200910
BR_Deutschland,6935,0.3,25417,16.8,3.7,200910
BR_Ausland,658,9.3,1577,-8.1,2.4,200910
HB,2428,-999.0,4758,-999.0,2.0,200910
HB_Deutschland,2284,-999.0,4470,-999.0,2.0,200910
HB_Ausland,144,69.4,288,65.5,2.0,200910
HH,3591,39.8,8205,35.5,2.3,200910
HH_Deutschland,3252,-999.0,7522,-999.0,2.3,200910
HH_Ausland,339,-999.0,683,-999.0,2.0,200910
HE,15279,-3.8,45116,-3.7,3.0,200910
